"SpatialDimValueCode","Location","FactValueNumeric"
"SYC","Seychelles",34.33
"SVN","Slovenia",34.28
"LBY","Libya",34.36
"BHR","Bahrain",34.42
"CUB","Cuba",34.42
"FJI","Fiji",34.42
"DMA","Dominica",34.46
"LCA","Saint Lucia",34.47
"PNG","Papua New Guinea",34.46
"SYR","Syrian Arab Republic",34.54
"BIH","Bosnia and Herzegovina",34.5
"MDV","Maldives",34.5
"PRY","Paraguay",34.49
"HUN","Hungary",34.49
"CYP","Cyprus",34.48
"SYR","Syrian Arab Republic",34.56
"LBY","Libya",34.63
"VCT","Saint Vincent and the Grenadines",34.61
"CRI","Costa Rica",34.57
"CRI","Costa Rica",34.64
"MLT","Malta",34.6
"SRB","Serbia",34.63
"BMU","Bermuda",34.68
"ASM","American Samoa",34.66
"PAN","Panama",34.72
"HUN","Hungary",34.72
"GRD","Grenada",34.75
"SGP","Singapore",34.82
"JAM","Jamaica",34.8
"GRC","Greece",34.8
"HUN","Hungary",34.83
"VCT","Saint Vincent and the Grenadines",34.94
"PRY","Paraguay",34.95
